# File: YH_017.posterior
# Summary of state calls for this individual:
#   0,1,0,1: 27217
#   0,1,1,0: 24248
#   1,0,1,0: 21163
#   1,0,0,1: 11434
#   2,0,0,0: 6363
#   0,0,2,0: 3340
#   1,1,0,0: 2702
#   0,2,0,0: 1488
#   0,0,0,2: 1443
#   0,0,1,1: 99
#----------------------------------------
chrom,position,called_state
LG1,100146,"1,1,0,0"
LG1,101720,"1,1,0,0"
LG1,104189,"1,1,0,0"
LG1,106279,"1,1,0,0"
LG1,108630,"1,1,0,0"
LG1,111345,"1,1,0,0"
LG1,113722,"1,1,0,0"
LG1,120566,"1,1,0,0"
LG1,123691,"1,1,0,0"
LG1,125743,"1,1,0,0"
LG1,128514,"1,1,0,0"
LG1,130141,"1,1,0,0"
LG1,133230,"1,1,0,0"
LG1,136038,"1,1,0,0"
LG1,144023,"1,1,0,0"
LG1,148913,"1,1,0,0"
LG1,162645,"1,1,0,0"
LG1,168167,"1,1,0,0"
LG1,175576,"1,1,0,0"
LG1,184896,"1,1,0,0"
LG1,187558,"1,1,0,0"
LG1,189480,"1,1,0,0"
LG1,193695,"1,1,0,0"
LG1,195393,"1,1,0,0"
LG1,197975,"1,1,0,0"
LG1,208265,"1,1,0,0"
LG1,210657,"1,1,0,0"
LG1,214524,"1,1,0,0"
LG1,217883,"1,1,0,0"
LG1,227589,"1,1,0,0"
LG1,230888,"1,1,0,0"
LG1,231992,"1,1,0,0"
LG1,239978,"1,1,0,0"
LG1,243738,"1,1,0,0"
LG1,247361,"1,1,0,0"
LG1,249153,"1,1,0,0"
LG1,252674,"1,1,0,0"
LG1,255562,"1,1,0,0"
LG1,259815,"1,1,0,0"
LG1,263067,"1,1,0,0"
LG1,264449,"1,1,0,0"
LG1,266308,"1,1,0,0"
LG1,268756,"1,1,0,0"
LG1,270192,"1,1,0,0"
LG1,273911,"1,1,0,0"
LG1,277101,"1,1,0,0"
LG1,280435,"1,1,0,0"
LG1,291940,"1,1,0,0"
LG1,294050,"1,1,0,0"
LG1,296363,"1,1,0,0"
LG1,302728,"1,1,0,0"
LG1,304529,"1,1,0,0"
LG1,315025,"1,1,0,0"
LG1,318026,"1,1,0,0"
LG1,320215,"1,1,0,0"
LG1,322131,"1,1,0,0"
LG1,324526,"1,1,0,0"
LG1,327966,"1,1,0,0"
LG1,331168,"1,1,0,0"
LG1,332596,"1,1,0,0"
LG1,348442,"1,1,0,0"
LG1,350537,"1,1,0,0"
LG1,353362,"1,1,0,0"
LG1,366232,"1,1,0,0"
LG1,368338,"1,1,0,0"
LG1,383088,"1,1,0,0"
LG1,388738,"1,1,0,0"
LG1,393635,"1,1,0,0"
LG1,406362,"1,1,0,0"
LG1,408985,"1,1,0,0"
LG1,412325,"1,1,0,0"
LG1,413418,"1,1,0,0"
LG1,414439,"1,1,0,0"
LG1,416588,"1,1,0,0"
LG1,418207,"1,1,0,0"
LG1,423040,"1,1,0,0"
LG1,424945,"1,1,0,0"
LG1,428968,"1,1,0,0"
LG1,432834,"1,1,0,0"
LG1,437936,"1,1,0,0"
LG1,439086,"1,1,0,0"
LG1,440840,"1,1,0,0"
LG1,445800,"1,1,0,0"
LG1,450017,"1,1,0,0"
LG1,453123,"1,1,0,0"
LG1,456063,"1,1,0,0"
LG1,459513,"1,1,0,0"
LG1,463166,"1,1,0,0"
LG1,468768,"1,1,0,0"
LG1,471842,"1,1,0,0"
LG1,473365,"1,1,0,0"
LG1,475302,"1,1,0,0"
LG1,480685,"1,1,0,0"
LG1,488197,"1,1,0,0"
LG1,489579,"1,1,0,0"
LG1,490619,"1,1,0,0"
LG1,500659,"1,1,0,0"
LG1,502457,"1,1,0,0"
LG1,505010,"1,1,0,0"
LG1,513416,"1,1,0,0"
LG1,515206,"1,1,0,0"
LG1,528798,"1,1,0,0"
LG1,533608,"1,1,0,0"
LG1,539535,"1,1,0,0"
LG1,543885,"1,1,0,0"
LG1,548057,"1,1,0,0"
LG1,549465,"1,1,0,0"
LG1,560213,"1,1,0,0"
LG1,562083,"1,1,0,0"
LG1,570415,"1,1,0,0"
LG1,574246,"1,1,0,0"
LG1,580960,"1,1,0,0"
LG1,584488,"1,1,0,0"
LG1,589406,"1,1,0,0"
LG1,590687,"1,1,0,0"
LG1,592199,"1,1,0,0"
LG1,593407,"1,1,0,0"
LG1,594795,"1,1,0,0"
LG1,596846,"1,1,0,0"
LG1,598285,"1,1,0,0"
LG1,600918,"1,1,0,0"
LG1,605619,"1,1,0,0"
LG1,606627,"1,1,0,0"
LG1,613133,"1,1,0,0"
LG1,615944,"1,1,0,0"
LG1,617917,"1,1,0,0"
LG1,619889,"1,1,0,0"
LG1,626007,"1,1,0,0"
LG1,630826,"1,1,0,0"
LG1,637241,"1,1,0,0"
LG1,641654,"1,1,0,0"
LG1,643305,"2,0,0,0"
LG1,648351,"1,1,0,0"
LG1,651322,"1,1,0,0"
LG1,653240,"1,1,0,0"
LG1,655555,"1,1,0,0"
LG1,656806,"1,1,0,0"
LG1,658554,"2,0,0,0"
LG1,660003,"1,1,0,0"
LG1,661132,"1,1,0,0"
LG1,662224,"1,1,0,0"
LG1,663424,"1,1,0,0"
LG1,664712,"1,1,0,0"
LG1,665982,"1,1,0,0"
LG1,667157,"2,0,0,0"
LG1,668296,"1,1,0,0"
LG1,669373,"1,1,0,0"
LG1,670568,"1,1,0,0"
LG1,672439,"1,1,0,0"
LG1,673499,"1,1,0,0"
LG1,675113,"1,1,0,0"
LG1,678905,"1,1,0,0"
LG1,681885,"1,1,0,0"
LG1,682885,"2,0,0,0"
LG1,684368,"2,0,0,0"
LG1,687849,"1,1,0,0"
LG1,689281,"2,0,0,0"
LG1,690711,"1,1,0,0"
LG1,693423,"1,1,0,0"
LG1,694540,"1,1,0,0"
LG1,696772,"1,1,0,0"
LG1,699036,"1,1,0,0"
LG1,702340,"1,1,0,0"
LG1,703556,"1,1,0,0"
LG1,706015,"1,1,0,0"
LG1,709260,"1,1,0,0"
LG1,711147,"1,1,0,0"
LG1,713800,"1,1,0,0"
LG1,715645,"1,1,0,0"
LG1,716716,"1,1,0,0"
LG1,718471,"1,1,0,0"
LG1,720005,"1,1,0,0"
LG1,721086,"1,1,0,0"
LG1,722895,"1,1,0,0"
LG1,725249,"2,0,0,0"
LG1,726433,"1,1,0,0"
LG1,728317,"1,1,0,0"
LG1,732598,"1,1,0,0"
LG1,733759,"1,1,0,0"
LG1,735546,"1,1,0,0"
LG1,743439,"1,1,0,0"
LG1,745373,"1,1,0,0"
LG1,746657,"1,1,0,0"
LG1,748207,"1,1,0,0"
LG1,749475,"1,1,0,0"
LG1,751074,"1,1,0,0"
LG1,752247,"1,1,0,0"
LG1,753585,"1,1,0,0"
LG1,754754,"1,1,0,0"
LG1,756608,"2,0,0,0"
LG1,759484,"2,0,0,0"
LG1,760594,"2,0,0,0"
LG1,762144,"2,0,0,0"
LG1,763832,"2,0,0,0"
LG1,764980,"2,0,0,0"
LG1,767164,"2,0,0,0"
LG1,770936,"2,0,0,0"
LG1,771942,"2,0,0,0"
LG1,776004,"2,0,0,0"
LG1,777296,"2,0,0,0"
LG1,778615,"2,0,0,0"
LG1,779982,"2,0,0,0"
LG1,781047,"2,0,0,0"
LG1,782124,"2,0,0,0"
LG1,784137,"2,0,0,0"
LG1,785227,"2,0,0,0"
LG1,788938,"2,0,0,0"
LG1,790147,"2,0,0,0"
LG1,791588,"2,0,0,0"
LG1,794676,"2,0,0,0"
LG1,797824,"2,0,0,0"
LG1,798892,"2,0,0,0"
LG1,800675,"2,0,0,0"
LG1,801729,"2,0,0,0"
LG1,803015,"2,0,0,0"
LG1,804481,"2,0,0,0"
LG1,805754,"2,0,0,0"
LG1,809362,"2,0,0,0"
LG1,811771,"2,0,0,0"
LG1,814138,"2,0,0,0"
LG1,817578,"2,0,0,0"
LG1,820638,"2,0,0,0"
LG1,822429,"2,0,0,0"
LG1,824631,"2,0,0,0"
LG1,826493,"2,0,0,0"
LG1,827735,"2,0,0,0"
LG1,830667,"2,0,0,0"
LG1,831680,"2,0,0,0"
LG1,832762,"2,0,0,0"
LG1,833812,"2,0,0,0"
LG1,836377,"2,0,0,0"
LG1,839965,"2,0,0,0"
LG1,841137,"2,0,0,0"
LG1,843128,"2,0,0,0"
LG1,846691,"2,0,0,0"
LG1,848188,"2,0,0,0"
LG1,849897,"2,0,0,0"
LG1,851737,"2,0,0,0"
LG1,853442,"2,0,0,0"
LG1,856198,"2,0,0,0"
LG1,860177,"2,0,0,0"
LG1,861303,"2,0,0,0"
LG1,863644,"2,0,0,0"
LG1,866033,"2,0,0,0"
LG1,869412,"2,0,0,0"
LG1,870990,"2,0,0,0"
LG1,872322,"2,0,0,0"
LG1,873915,"2,0,0,0"
LG1,879942,"2,0,0,0"
